"tranportador_atrasou","PALLETS","troca_ordem","troc_h_carga","troc_h_descarga","troc_recurso","recurso_extra","isca","retorno","possui_prioridade","numero_acessos","numero_de_macros","numero_manutencao","ultimo_odometro_dia","GR_JORNADA","CIDADE_OPERACO","OPERACAO","ERAS_DESCRICAO","IDADE_CAVALO","IDADE_CARRETA","MARCA_CAVALO","MARCA_CARRETA","numero_paradas_proibidas","VIAG_VALOR_CARGA","VIAG_PESO_TOTAL","VIAG_DISTANCIA","delta_inicio_cadastro","delta_fim_inicio","numero_paradas.rast","numero_paradas.gris"
"0",26,"0","0","0","0","0","0","0","1",2,30,0,159749,"1","MAR","CROSS","NV FROTA",1,12,"SCANIA","RANDON",0,45071.83,34806.2,175.09,1.93083333333333,2.47277777777778,5,4
"0",28,"0","0","0","0","0","0","0","1",3,20,1,163620,"1","MAR","CROSS","NV FROTA",1,2,"DAF","FACCHINI",0,102746.89,32577.7,205.96,1.08055555555556,17.4194444444444,1,4
"0",28,"0","0","0","0","0","0","0","1",1,19,0,141752,"1","CVL","SPOT","NV FROTA",2,0,"DAF","FACCHINI",0,85600.25,33104.6,311.18,0.373888888888889,93.1988888888889,4,12
"0",28,"0","0","0","0","0","0","0","1",1,17,0,377995,"1","CVL","SPOT","NV FROTA",4,5,"DAF","FACCHINI",0,85697.72,35889.3,311.18,0.129166666666667,4.22388888888889,3,12
"0",28,"0","0","0","0","0","0","0","1",2,32,0,125911,"1","MAR","SPOT","NV FROTA",1,9,"SCANIA","LIBRELATO",0,28089.1,11279.9,194.32,0.375555555555556,29.13,8,6
"1",28,"0","0","0","0","0","0","0","1",2,32,1,108385,"1","MAR","CROSS","NV FROTA",1,7,"DAF","FACCHINI",0,37436,5808,209.72,1.23861111111111,20.1538888888889,5,3
"1",28,"0","1","0","0","0","0","0","1",3,20,0,149634,"1","MAR","CROSS","NV FROTA",1,2,"DAF","FACCHINI",0,40345.96,7100.28,209.72,0.445555555555556,12.7086111111111,3,3
"0",28,"0","0","1","0","0","0","0","1",2,30,0,159749,"1","MAR","CROSS","NV FROTA",1,12,"SCANIA","RANDON",0,73346,6006,175.06,0.155277777777778,5.63194444444444,5,4
"1",28,"0","0","0","0","0","0","0","1",1,26,0,139966,"1","BTM","OP MINAS","NV FROTA",2,2,"DAF","FACCHINI",0,44575.81,34465.6,46.65,0.738888888888889,5.20416666666667,7,1
"0",28,"0","0","0","0","0","0","0","1",1,10,0,122588,"1","BTM","OP MINAS","NV FROTA",2,3,"DAF","FACCHINI",0,45483.21,34227,46.65,4.13583333333333,3.17305555555556,0,1
"1",28,"0","0","0","0","0","0","0","1",1,18,1,96992,"1","BTM","OP MINAS","NV FROTA",1,5,"DAF","FACCHINI",0,46753.38,32998.36,223.89,1.13888888888889,6.56722222222222,3,1
"1",28,"0","0","0","0","0","0","0","1",3,13,3,130403,"1","MAR","CROSS","NV FROTA",2,7,"DAF","FACCHINI",0,102923.78,29913,141.51,1.27638888888889,22.7397222222222,1,3
"0",28,"0","0","0","0","0","0","0","1",1,28,0,131604,"1","BTM","OP MINAS","NV FROTA",2,6,"DAF","FACCHINI",0,77529.71,32014.2,46.65,1.51194444444444,3.81805555555556,4,1
"0",28,"0","0","0","0","0","0","0","1",1,17,2,176452,"1","MGA","CROSS","NV FROTA",2,7,"DAF","FACCHINI",0,55928.61,27439.88,46.65,1.85027777777778,18.4827777777778,3,1
"1",28,"0","0","0","0","0","0","0","1",1,9,0,134869,"0","CVL","SPOT","NV FROTA",2,5,"DAF","FACCHINI",0,44562.72,26923.88,223.89,1.50055555555556,18.5716666666667,1,1
"0",28,"0","0","0","0","0","0","0","1",2,27,3,152936,"1","BTM","OP MINAS","NV FROTA",1,6,"DAF","FACCHINI",0,41624.3,26659,46.65,1.83388888888889,3.56416666666667,4,1
